id,front,back,tags
def-power-shadow,"Kaj je 'power shadow' v pomagajočih poklicih?","Nezavedni pol želje pomagati: potreba po oblasti, nadzoru, moralni prevladi ali depotenciranju klienta. Najnevarnejša je, ko se skriva za objektivnostjo in dobrimi nameni.","definicija,senca,moč"
def-charlatan,"Kdo je psihoterapevt-šarlatan?","Terapevt, ki pod videzom zdravljenja dela zase: za prestiž, denar, narcistično potrditev, občutek posebnega znanja ali oblast nad pacientom.","definicija,psihoterapevt"
oral-thesis,"V eni minuti predstavi glavno tezo knjige.","Pomaganje ni nasprotje moči. Ker pomagajoči strokovnjak odloča, interpretira in vpliva na ranljivega drugega, mora stalno poznati tudi svojo senco: oblastnost, lažno prerokovanje, laskanje, posesivnost in beg pred lastno ranljivostjo.","ustni,teza"
contrast-help-power,"Pomoč vs. oblast: kako ju razlikuje avtor?","Nista čisti nasprotji. Pomoč vedno vsebuje moč; vprašanje je, ali je moč zavestna, omejena in v službi drugega ali nezavedna, moralizirana in v službi strokovnjakove sence.","kontrast,moč"
clinical-normality,"Kako lahko terapevt vsiljuje 'normalnost'?","Ko klientovo drugačnost, odvisnost, ekscentričnost ali izbiro razume samo kot patologijo, ker odstopa od terapevtove vrednostne sheme zdravega življenja.","klinika,socialno-delo"
def-inquisition,"Zakaj analogija z inkvizicijo?","Ker lahko institucija v imenu najvišjega dobrega prisilno uveljavlja svojo resnico in pri tem ne vidi lastne krutosti ali oblasti.","definicija,socialno-delo"
risk-objectivity,"Zakaj je 'objektivnost' lahko nevarna?","Ko postane obramba pred priznanjem lastnih motivov. Avtor opozarja, da močna gotovost pogosto naraste prav tam, kjer je senca najmočnejša.","tveganje,senca"
def-sorcerer,"Kaj pomeni odnos čarovnik-učenec v prvem stiku?","Pacient pričakuje rešitelja s skrivnim znanjem, terapevt pa lahko začne nezavedno nastopati kot omnipotenten čarovnik.","definicija,intake"
clinical-fee,"Kako honorar vstopi v senco?","Terapevt ga lahko racionalizira kot terapevtsko nujnost, pacient pa kot nakup rešitelja. S tem denar podpira fantazijo posebne moči.","klinika,honorar"
contrast-transfer-relationship,"Transfer vs. odnos po avtorju.","Transfer vidi v drugem predvsem lastne figure ali projekcije. Odnos pomeni vsaj delno srečanje realnega drugega, vključno z njegovim potencialom.","kontrast,odnos"
def-creative-fantasy,"Kaj je ustvarjalna fantazija o drugem?","Imaginativno kroženje okoli realnega potenciala druge osebe. Ni nujno projekcija; lahko spodbuja razvoj, če ni v službi našega ega.","definicija,odnos"
risk-negative-fantasy,"Kaj je nevarnost negativnih fantazij o pacientu?","Terapevtova energija se koncentrira na pacientov zlom, psihozo ali destruktivnost in lahko krepi prav to razvojno linijo.","tveganje,odnos"
clinical-fantasy,"Kaj mora terapevt narediti s svojimi fantazijami o pacientu?","Ne jih zatreti in ne jih takoj razglasiti za kontratransfer. Mora jih opazovati, razumeti in preveriti, komu služijo.","klinika,kontratransfer"
def-vicarious,"Kaj je vicarious living?","Terapevt živi skozi pacientove drame, ljubezni in konflikte, namesto da bi tvegal svoje življenje. Pacienti postanejo nadomestek njegove vitalnosti.","definicija,extra-life"
risk-exclusivity,"Kako terapija postane posesivna?","Analitični odnos zahteva izključnost in začne pacientove zunanje odnose interpretirati predvsem kot motnje ali nevarnosti.","tveganje,odnos"
def-sexuality,"Kako avtor razume spolnost v terapiji?","Kot telesno razsežnost odnosa, ki lahko izraža eros ali destruktivnost. Ni samo transfer in ni samo simbol.","definicija,spolnost"
rule-sexuality,"Kakšno je pravilo glede odigravanja spolnosti v terapiji?","Vedenjska meja je absolutna: spolnosti se ne odigrava. Psihološko pa je treba fantazije jemati zelo resno, ne jih samo moralizirati ali simbolizirati.","pravilo,spolnost"
risk-symbolization,"Kako simbolizacija postane obramba?","Če analitik spolno ali erotično doživetje prehitro dvigne na 'višji pomen' in se izogne konkretnemu afektu, telesnosti in destruktivnosti.","tveganje,jung"
def-homophobia,"Kaj je destruktivni strah pred homoseksualnostjo?","Strah, ki telesno bližino med osebama istega spola takoj patologizira in s tem osiromaši eros v odnosu.","definicija,eros"
def-flattery,"Zakaj je laskanje v analizi nevarno?","Ker je podobno legitimnemu prepoznavanju vrednosti, a v resnici hrani pacientovo in terapevtovo narcistično koalicijo.","definicija,laskanje"
clinical-flattery,"Kako ločiti podporo od laskanja?","Podpora poveča resnico, odgovornost in svobodo. Laskanje poveča idealizacijo, odvisnost in skupno samozadovoljstvo.","klinika,laskanje"
def-wounded-healer,"Kaj pomeni arhetip ranjenega zdravilca?","V pacientu obstaja notranji zdravilec, v zdravniku/terapevtu pa notranji pacient. Zdravljenje uspeva, ko sta oba pola dovolj zavestna.","definicija,arhetip"
contrast-healer-patient,"Ranjen zdravilec vs. močan zdravnik.","Ranjen zdravilec nosi tudi lastno ranljivost in konstelira pacientovo zdravilno moč. Močan zdravnik projicira ranjenost v pacienta in zdravi iz nadmoči.","kontrast,arhetip"
def-split-archetype,"Kaj je razcep arhetipa?","Ko ego ne prenese polaritete, en pol izrine in projicira v drugega. Odnos se potem poskuša umetno zapreti skozi moč.","definicija,arhetip"
clinical-client-passivity,"Kako pacient preda notranjega zdravilca?","Ko pričakuje, da bo terapevt vedel, odločal in nosil spremembo namesto njega. Terapevt mora vrniti agens pacientu.","klinika,arhetip"
contrast-health-individuation,"Duševno zdravje vs. individuacija.","Duševno zdravje lahko pomeni manj simptomov in dobro prilagoditev. Individuacija pomeni globlje soočenje s senco, smrtjo, smislom, svobodo in celovitostjo.","kontrast,individuacija"
risk-analyst-inflation,"Kaj je inflacija analitika glede individuacije?","Prepričanje, da je analiza posebna ali edina pot k rešitvi človeka in da je analitik specialist za smisel ali odrešitev.","tveganje,individuacija"
def-eros,"Kaj je eros v zaključku knjige?","Široka ljubezenska in življenjska vpletenost: prijateljstvo, partnerstvo, družina, umetnost, religiozno ali eksistencialno doživetje, ki terapevta lahko pretrese.","definicija,eros"
oral-ending,"Kako bi zaključil ustni odgovor o knjigi?","Avtor ne zahteva manj strokovnosti, ampak več zavesti o moči. Terapevt ostane etičen, ko zna reči 'ne vem', ko ima odnose zunaj terapevtske oblasti in ko svoje sence ne projicira v pacienta.","ustni,zaključek"
risk-isolation,"Zakaj je izolacija prekletstvo psihoterapevta?","Ker pacienti terapevta težko enakovredno izzovejo, stroka pa lahko njegove obrambe celo okrepi. Zato potrebuje odnose, kjer ni gospodar interpretacije.","tveganje,praksa"
clinical-supervision,"Kaj bi bila guggenbuhl-craigovska supervizijska vprašanja?","Kje hočem imeti prav? Kje pacientu jemljem agens? Kje me hrani njegova odvisnost? Kje mojo interpretacijo vodi moj strah, eros, dolgčas ali potreba po moči?","klinika,supervizija"
contrast-eros-power,"Eros vs. moč.","Eros odpira odnos in tvega ranljivost. Moč zapira odnos, ureja drugega od zgoraj in zmanjša negotovost strokovnjaka.","kontrast,eros"
exam-social,"Model odgovora: socialno delo in inkvizicija.","Začni z analogijo dobrega namena, nadaljuj z vrednotami normalnosti, dodaj problem prisile in zaključi s power shadow: največja krutost se pojavi, ko se lahko legitimira kot dobro.","ustni,socialno-delo"
exam-wounded,"Model odgovora: ranjeni zdravilec.","Pojasni pola arhetipa, projekcijo notranjega zdravilca in notranjega pacienta, zapiranje razcepa skozi moč ter klinično posledico: terapevt pomaga, ko ostaja brat in ne gospodar.","ustni,arhetip"
exam-relationship,"Model odgovora: odnos je fantazija.","Ločuj projekcijo/transfer od ustvarjalne fantazije, poudari neizrečen vpliv terapevtovih fantazij in dodaj nevarnost negativne vere v pacientov propad.","ustni,odnos"
exam-sexuality,"Model odgovora: spolnost in analiza.","Spolnost je telesni izraz odnosa. Treba je ločiti eros od destruktivnosti, ohraniti absolutno vedenjsko mejo in ne bežati v prehitro simbolizacijo.","ustni,spolnost"
